health_zone,date,value
Mongbwalu,14/05/2026,0
Mongbwalu,15/05/2026,0
Rwampara,15/05/2026,13
Bunia,15/05/2026,0
Mongbwalu,18/05/2026,1
Rwampara,18/05/2026,19
Bunia,18/05/2026,6
Nyankunde,18/05/2026,4
Goma,18/05/2026,1
Katwa,18/05/2026,1
Butembo,18/05/2026,1
Mongbwalu,19/05/2026,13
Rwampara,19/05/2026,25
Bunia,19/05/2026,6
Nyankunde,19/05/2026,4
Goma,19/05/2026,1
Katwa,19/05/2026,1
Butembo,19/05/2026,1
Mongbwalu,20/05/2026,13
Rwampara,20/05/2026,24
Bunia,20/05/2026,11
Nyankunde,20/05/2026,5
Goma,20/05/2026,1
Katwa,20/05/2026,1
Butembo,20/05/2026,1
Bambu,20/05/2026,1
Mongbwalu,21/05/2026,14
Rwampara,21/05/2026,31
Bunia,21/05/2026,15
Nyankunde,21/05/2026,11
Goma,21/05/2026,1
Katwa,21/05/2026,1
Butembo,21/05/2026,2
Bambu,21/05/2026,1
Nizi,21/05/2026,1
Kilo,21/05/2026,1
Miti Murhesa,21/05/2026,1
Mongbwalu,22/05/2026,10
Rwampara,22/05/2026,32
Bunia,22/05/2026,23
Nyankunde,22/05/2026,9
Goma,22/05/2026,1
Katwa,22/05/2026,0
Butembo,22/05/2026,2
Bambu,22/05/2026,1
Nizi,22/05/2026,2
Kilo,22/05/2026,1
Miti Murhesa,22/05/2026,1
Aru,22/05/2026,1
Mongbwalu,23/05/2026,19
Rwampara,23/05/2026,32
Bunia,23/05/2026,24
Nyankunde,23/05/2026,9
Goma,23/05/2026,1
Katwa,23/05/2026,4
Butembo,23/05/2026,1
Bambu,23/05/2026,0
Nizi,23/05/2026,2
Kilo,23/05/2026,1
Miti Murhesa,23/05/2026,1
Aru,23/05/2026,1
Mongbwalu,24/05/2026,19
Rwampara,24/05/2026,32
Bunia,24/05/2026,24
Nyankunde,24/05/2026,9
Goma,24/05/2026,1
Katwa,24/05/2026,4
Butembo,24/05/2026,3
Bambu,24/05/2026,2
Nizi,24/05/2026,2
Kilo,24/05/2026,1
Miti Murhesa,24/05/2026,1
Aru,24/05/2026,1
Oicha,24/05/2026,1
Kalunguta,24/05/2026,1
Mongbwalu,25/05/2026,19
Rwampara,25/05/2026,32
Bunia,25/05/2026,24
Nyankunde,25/05/2026,9
Goma,25/05/2026,1
Butembo,25/05/2026,3
Bambu,25/05/2026,0
Nizi,25/05/2026,2
Kilo,25/05/2026,1
Miti Murhesa,25/05/2026,1
Aru,25/05/2026,1
Oicha,25/05/2026,1
Kalunguta,25/05/2026,1
Kyondo,25/05/2026,1
Mongbwalu,26/05/2026,20
Rwampara,26/05/2026,33
Bunia,26/05/2026,36
Nyankunde,26/05/2026,10
Goma,26/05/2026,1
Katwa,25/05/2026,4
Butembo,26/05/2026,3
Bambu,26/05/2026,0
Nizi,26/05/2026,2
Kilo,26/05/2026,1
Miti Murhesa,26/05/2026,1
Aru,26/05/2026,1
Oicha,26/05/2026,1
Kalunguta,26/05/2026,1
Karisimbi,26/05/2026,0
Damas,26/05/2026,0
Fataki,26/05/2026,0
Mambasa,26/05/2026,0
Rimba,26/05/2026,0
Kyondo,26/05/2026,1
Mongbwalu,27/05/2026,20
Rwampara,27/05/2026,33
Bunia,27/05/2026,37
Nyankunde,27/05/2026,10
Goma,27/05/2026,1
Katwa,27/05/2026,4
Butembo,27/05/2026,5
Bambu,27/05/2026,0
Nizi,27/05/2026,2
Kilo,27/05/2026,1
Miti Murhesa,27/05/2026,1
Aru,27/05/2026,1
Oicha,27/05/2026,2
Kalunguta,27/05/2026,2
Karisimbi,27/05/2026,0
Damas,27/05/2026,0
Fataki,27/05/2026,0
Mambasa,27/05/2026,0
Rimba,27/05/2026,0
Kyondo,27/05/2026,ND
Aru,28/05/2026,2
Bambu,28/05/2026,2
Bunia,28/05/2026,80
Kilo,28/05/2026,2
Mongbwalu,28/05/2026,47
Nizi,28/05/2026,2
Nyankunde,28/05/2026,19
Rwampara,28/05/2026,65
Mangala,28/05/2026,1
Damas,28/05/2026,1
Aungba,28/05/2026,1
Gety,28/05/2026,1
Komanda,28/05/2026,1
Jiba,28/05/2026,ND
Lita,28/05/2026,1
Butembo,28/05/2026,5
Goma,28/05/2026,1
Katwa,28/05/2026,4
Karisimbi,28/05/2026,0
Kyondo,28/05/2026,1
Oicha,28/05/2026,1
Kalunguta,28/05/2026,1
Beni,28/05/2026,2
Miti Murhesa,28/05/2026,3
Aru,29/05/2026,2
Bambu,29/05/2026,2
Bunia,29/05/2026,80
Kilo,29/05/2026,2
Mongbwalu,29/05/2026,47
Nizi,29/05/2026,2
Nyankunde,29/05/2026,19
Rwampara,29/05/2026,65
Mangala,29/05/2026,1
Damas,29/05/2026,1
Aungba,29/05/2026,1
Gety,29/05/2026,1
Komanda,29/05/2026,1
Jiba,29/05/2026,ND
Lita,29/05/2026,1
Butembo,29/05/2026,5
Goma,29/05/2026,1
Katwa,29/05/2026,4
Karisimbi,29/05/2026,0
Kyondo,29/05/2026,1
Oicha,29/05/2026,1
Kalunguta,29/05/2026,1
Manguredjipa,29/05/2026,0
Beni,29/05/2026,2
Miti Murhesa,29/05/2026,3
Aru,30/05/2026,2
Bambu,30/05/2026,2
Bunia,30/05/2026,80
Kilo,30/05/2026,2
Mongbwalu,30/05/2026,47
Nizi,30/05/2026,2
Nyankunde,30/05/2026,19
Rwampara,30/05/2026,65
Mangala,30/05/2026,1
Damas,30/05/2026,1
Aungba,30/05/2026,1
Gety,30/05/2026,1
Komanda,30/05/2026,1
Jiba,30/05/2026,ND
Lita,30/05/2026,1
Butembo,30/05/2026,5
Goma,30/05/2026,1
Katwa,30/05/2026,4
Karisimbi,30/05/2026,0
Kyondo,30/05/2026,1
Oicha,30/05/2026,1
Kalunguta,30/05/2026,1
Manguredjipa,30/05/2026,0
Beni,30/05/2026,2
Miti Murhesa,30/05/2026,3
Aru,01/06/2026,2
Bambu,01/06/2026,2
Bunia,01/06/2026,80
Kilo,01/06/2026,2
Mongbwalu,01/06/2026,47
Nizi,01/06/2026,2
Nyankunde,01/06/2026,19
Rwampara,01/06/2026,65
Mangala,01/06/2026,1
Damas,01/06/2026,1
Aungba,01/06/2026,1
Gety,01/06/2026,1
Komanda,01/06/2026,1
Jiba,01/06/2026,ND
Lita,01/06/2026,1
Logo,01/06/2026,1
Mambasa,01/06/2026,2
NA,01/06/2026,94
Butembo,01/06/2026,2
Goma,01/06/2026,1
Katwa,01/06/2026,7
Karisimbi,01/06/2026,ND
Kyondo,01/06/2026,1
Oicha,01/06/2026,2
Kalunguta,01/06/2026,1
Manguredjipa,01/06/2026,ND
Beni,01/06/2026,5
Miti Murhesa,01/06/2026,3
Bunia,02/06/2026,85
Rwampara,02/06/2026,72
Mongbwalu,02/06/2026,47
Nyankunde,02/06/2026,22
Rimba,02/06/2026,3
Miti Murhesa,02/06/2026,3
Bambu,02/06/2026,2
Aru,02/06/2026,2
Kilo,02/06/2026,2
Nizi,02/06/2026,2
Damas,02/06/2026,2
Mambasa,02/06/2026,2
Katwa,02/06/2026,7
Beni,02/06/2026,5
Butembo,02/06/2026,2
Oicha,02/06/2026,2
Kalunguta,02/06/2026,1
Kyondo,02/06/2026,1
Goma,02/06/2026,1
Mangala,02/06/2026,1
Aungba,02/06/2026,1
Gety,02/06/2026,1
Komanda,02/06/2026,1
Lita,02/06/2026,1
Logo,02/06/2026,1
NA,02/06/2026,94
Aru,03/06/2026,2
Bambu,03/06/2026,2
Bunia,03/06/2026,97
Kilo,03/06/2026,2
Mongbwalu,03/06/2026,47
Nizi,03/06/2026,2
Nyankunde,03/06/2026,22
Rwampara,03/06/2026,76
Mangala,03/06/2026,1
Damas,03/06/2026,3
Aungba,03/06/2026,1
Gety,03/06/2026,1
Komanda,03/06/2026,1
Jiba,03/06/2026,ND
Lita,03/06/2026,2
Butembo,03/06/2026,2
Goma,03/06/2026,1
Katwa,03/06/2026,7
Karisimbi,03/06/2026,ND
Kyondo,03/06/2026,1
Oicha,03/06/2026,2
Kalunguta,03/06/2026,1
Manguredjipa,03/06/2026,ND
Beni,03/06/2026,5
Miti Murhesa,03/06/2026,3
NA,03/06/2026,97
Bunia,04/06/2026,123
Rwampara,04/06/2026,86
Mongbwalu,04/06/2026,64
Nyankunde,04/06/2026,22
Bambu,04/06/2026,5
Aru,04/06/2026,3
Kilo,04/06/2026,3
Nizi,04/06/2026,5
Mangala,04/06/2026,1
Damas,04/06/2026,3
Aungba,04/06/2026,1
Gety,04/06/2026,1
Komanda,04/06/2026,3
Lita,04/06/2026,3
Logo,04/06/2026,2
Mambasa,04/06/2026,2
Rimba,04/06/2026,3
Katwa,04/06/2026,11
Beni,04/06/2026,5
Butembo,04/06/2026,4
Oicha,04/06/2026,2
Kalunguta,04/06/2026,1
Kyondo,04/06/2026,1
Goma,04/06/2026,1
Miti Murhesa,04/06/2026,1
NA,04/06/2026,94
Bunia,05/06/2026,138
Rwampara,05/06/2026,93
Mongbwalu,05/06/2026,74
Nyankunde,05/06/2026,24
Bambu,05/06/2026,5
Aru,05/06/2026,3
Kilo,05/06/2026,4
Nizi,05/06/2026,5
Mangala,05/06/2026,1
Damas,05/06/2026,3
Aungba,05/06/2026,1
Gety,05/06/2026,1
Komanda,05/06/2026,3
Lita,05/06/2026,4
Logo,05/06/2026,2
Mambasa,05/06/2026,2
Rimba,05/06/2026,3
Katwa,05/06/2026,11
Beni,05/06/2026,5
Butembo,05/06/2026,4
Oicha,05/06/2026,2
Kalunguta,05/06/2026,1
Kyondo,05/06/2026,1
Goma,05/06/2026,1
Miti Murhesa,05/06/2026,3
NA,05/06/2026,94
Bunia,06/06/2026,142
Rwampara,06/06/2026,98
Mongbwalu,06/06/2026,92
Nyankunde,06/06/2026,24
Bambu,06/06/2026,5
Aru,06/06/2026,3
Kilo,06/06/2026,4
Nizi,06/06/2026,5
Mangala,06/06/2026,1
Damas,06/06/2026,3
Aungba,06/06/2026,1
Gety,06/06/2026,1
Komanda,06/06/2026,3
Lita,06/06/2026,4
Logo,06/06/2026,2
Mambasa,06/06/2026,2
Rimba,06/06/2026,3
Katwa,06/06/2026,11
Beni,06/06/2026,5
Butembo,06/06/2026,4
Oicha,06/06/2026,2
Kalunguta,06/06/2026,1
Kyondo,06/06/2026,1
Goma,06/06/2026,1
Miti Murhesa,06/06/2026,3
NA,06/06/2026,94
Bunia,07/06/2026,152
Rwampara,07/06/2026,111
Mongbwalu,07/06/2026,98
Nyankunde,07/06/2026,26
Bambu,07/06/2026,5
Aru,07/06/2026,3
Kilo,07/06/2026,4
Nizi,07/06/2026,5
Mangala,07/06/2026,1
Damas,07/06/2026,3
Aungba,07/06/2026,1
Gety,07/06/2026,1
Komanda,07/06/2026,3
Lita,07/06/2026,4
Logo,07/06/2026,2
Mambasa,07/06/2026,2
Rimba,07/06/2026,3
Katwa,07/06/2026,11
Beni,07/06/2026,9
Butembo,07/06/2026,4
Oicha,07/06/2026,2
Kalunguta,07/06/2026,1
Kyondo,07/06/2026,1
Goma,07/06/2026,1
Miti Murhesa,07/06/2026,3
NA,07/06/2026,94
Bunia,08/06/2026,163
Rwampara,08/06/2026,122
Mongbwalu,08/06/2026,114
Nyankunde,08/06/2026,32
Bambu,08/06/2026,5
Aru,08/06/2026,3
Kilo,08/06/2026,4
Nizi,08/06/2026,5
Mangala,08/06/2026,1
Damas,08/06/2026,3
Aungba,08/06/2026,2
Gety,08/06/2026,1
Komanda,08/06/2026,3
Lita,08/06/2026,4
Logo,08/06/2026,2
Mambasa,08/06/2026,2
Rimba,08/06/2026,3
Katwa,08/06/2026,12
Beni,08/06/2026,9
Butembo,08/06/2026,6
Oicha,08/06/2026,2
Kalunguta,08/06/2026,1
Kyondo,08/06/2026,1
Goma,08/06/2026,1
Miti Murhesa,08/06/2026,1
NA,08/06/2026,94
Bunia,09/06/2026,173
Rwampara,09/06/2026,133
Mongbwalu,09/06/2026,127
Nyankunde,09/06/2026,32
Bambu,09/06/2026,5
Aru,09/06/2026,3
Kilo,09/06/2026,4
Nizi,09/06/2026,5
Mangala,09/06/2026,1
Damas,09/06/2026,3
Aungba,09/06/2026,2
Gety,09/06/2026,1
Komanda,09/06/2026,3
Lita,09/06/2026,5
Logo,09/06/2026,2
Mambasa,09/06/2026,2
Rimba,09/06/2026,3
Tchomia,09/06/2026,2
Katwa,09/06/2026,12
Beni,09/06/2026,9
Butembo,09/06/2026,6
Oicha,09/06/2026,2
Kalunguta,09/06/2026,1
Kyondo,09/06/2026,1
Goma,09/06/2026,1
Miti Murhesa,09/06/2026,3
NA,09/06/2026,94
Bunia,10/06/2026,185
Rwampara,10/06/2026,137
Mongbwalu,10/06/2026,132
Nyankunde,10/06/2026,33
Bambu,10/06/2026,7
Aru,10/06/2026,3
Kilo,10/06/2026,4
Nizi,10/06/2026,7
Mangala,10/06/2026,2
Damas,10/06/2026,3
Aungba,10/06/2026,2
Gety,10/06/2026,1
Komanda,10/06/2026,3
Lita,10/06/2026,6
Logo,10/06/2026,2
Mambasa,10/06/2026,2
Rimba,10/06/2026,3
Tchomia,10/06/2026,2
Kambala,10/06/2026,1
Katwa,10/06/2026,18
Beni,10/06/2026,9
Butembo,10/06/2026,9
Oicha,10/06/2026,2
Kalunguta,10/06/2026,1
Kyondo,10/06/2026,2
Goma,10/06/2026,1
Masereka,10/06/2026,1
Vuhovi,10/06/2026,1
Miti Murhesa,10/06/2026,3
NA,10/06/2026,94
Bunia,11/06/2026,191
Rwampara,11/06/2026,142
Mongbwalu,11/06/2026,136
Nyankunde,11/06/2026,33
Bambu,11/06/2026,7
Aru,11/06/2026,3
Kilo,11/06/2026,4
Nizi,11/06/2026,9
Mangala,11/06/2026,2
Damas,11/06/2026,3
Aungba,11/06/2026,2
Gety,11/06/2026,1
Komanda,11/06/2026,3
Lita,11/06/2026,6
Logo,11/06/2026,2
Mambasa,11/06/2026,2
Rimba,11/06/2026,3
Tchomia,11/06/2026,2
Kambala,11/06/2026,1
Katwa,11/06/2026,16
Beni,11/06/2026,9
Butembo,11/06/2026,7
Oicha,11/06/2026,2
Kalunguta,11/06/2026,1
Kyondo,11/06/2026,2
Goma,11/06/2026,1
Masereka,11/06/2026,1
Vuhovi,11/06/2026,1
Miti Murhesa,11/06/2026,3
NA,11/06/2026,94
Bunia,13/06/2026,212
Rwampara,13/06/2026,149
Mongbwalu,13/06/2026,164
Nyankunde,13/06/2026,38
Bambu,13/06/2026,7
Aru,13/06/2026,3
Kilo,13/06/2026,4
Nizi,13/06/2026,11
Mangala,13/06/2026,5
Damas,13/06/2026,4
Aungba,13/06/2026,2
Gety,13/06/2026,1
Komanda,13/06/2026,6
Lita,13/06/2026,6
Logo,13/06/2026,2
Mambasa,13/06/2026,2
Rimba,13/06/2026,3
Tchomia,13/06/2026,2
Kambala,13/06/2026,1
Nia Nia,13/06/2026,1
Katwa,13/06/2026,21
Beni,13/06/2026,14
Butembo,13/06/2026,18
Oicha,13/06/2026,2
Kalunguta,13/06/2026,1
Kyondo,13/06/2026,2
Goma,13/06/2026,1
Masereka,13/06/2026,1
Vuhovi,13/06/2026,1
Mabalako,13/06/2026,1
Miti Murhesa,13/06/2026,3
NA,13/06/2026,94
Bunia,14/06/2026,215
Rwampara,14/06/2026,152
Mongbwalu,14/06/2026,175
Nyankunde,14/06/2026,42
Bambu,14/06/2026,7
Aru,14/06/2026,3
Kilo,14/06/2026,4
Nizi,14/06/2026,11
Mangala,14/06/2026,5
Damas,14/06/2026,4
Aungba,14/06/2026,2
Gety,14/06/2026,1
Komanda,14/06/2026,6
Lita,14/06/2026,6
Logo,14/06/2026,2
Mambasa,14/06/2026,2
Rimba,14/06/2026,3
Tchomia,14/06/2026,2
Kambala,14/06/2026,1
Nia Nia,14/06/2026,1
Katwa,14/06/2026,25
Beni,14/06/2026,14
Butembo,14/06/2026,19
Oicha,14/06/2026,2
Kalunguta,14/06/2026,1
Kyondo,14/06/2026,2
Goma,14/06/2026,1
Masereka,14/06/2026,1
Vuhovi,14/06/2026,1
Mabalako,14/06/2026,1
Miti Murhesa,14/06/2026,3
NA,14/06/2026,94
Bunia,15/06/2026,215
Rwampara,15/06/2026,192
Mongbwalu,15/06/2026,185
Nyankunde,15/06/2026,45
Bambu,15/06/2026,7
Aru,15/06/2026,3
Kilo,15/06/2026,4
Nizi,15/06/2026,16
Mangala,15/06/2026,5
Damas,15/06/2026,4
Aungba,15/06/2026,2
Gety,15/06/2026,1
Komanda,15/06/2026,7
Lita,15/06/2026,9
Logo,15/06/2026,2
Mambasa,15/06/2026,2
Rimba,15/06/2026,3
Tchomia,15/06/2026,2
Kambala,15/06/2026,1
Nia Nia,15/06/2026,1
Katwa,15/06/2026,25
Beni,15/06/2026,14
Butembo,15/06/2026,19
Oicha,15/06/2026,2
Kalunguta,15/06/2026,1
Kyondo,15/06/2026,2
Goma,15/06/2026,1
Masereka,15/06/2026,1
Vuhovi,15/06/2026,1
Mabalako,15/06/2026,1
Miti Murhesa,15/06/2026,3
NA,15/06/2026,94
Bunia,16/06/2026,226
Rwampara,16/06/2026,172
Mongbwalu,16/06/2026,189
Nyankunde,16/06/2026,45
Bambu,16/06/2026,7
Nizi,16/06/2026,16
Komanda,16/06/2026,7
Lita,16/06/2026,9
Mangala,16/06/2026,5
Tchomia,16/06/2026,5
Kilo,16/06/2026,4
Damas,16/06/2026,4
Rimba,16/06/2026,3
Aru,16/06/2026,3
Aungba,16/06/2026,2
Mambasa,16/06/2026,2
Logo,16/06/2026,2
Fataki,16/06/2026,1
Gety,16/06/2026,1
Kambala,16/06/2026,1
Nia Nia,16/06/2026,1
Katwa,16/06/2026,23
Butembo,16/06/2026,24
Beni,16/06/2026,14
Oicha,16/06/2026,3
Kyondo,16/06/2026,2
Kalunguta,16/06/2026,2
Goma,16/06/2026,1
Masereka,16/06/2026,1
Vuhovi,16/06/2026,1
Mabalako,16/06/2026,1
Musienene,16/06/2026,1
Miti Murhesa,16/06/2026,3
Bunia,17/06/2026,247
Rwampara,17/06/2026,195
Mongbwalu,17/06/2026,189
Nyankunde,17/06/2026,68
Nizi,17/06/2026,25
Lita,17/06/2026,18
Komanda,17/06/2026,10
Bambu,17/06/2026,9
Kilo,17/06/2026,7
Mangala,17/06/2026,5
Tchomia,17/06/2026,5
Damas,17/06/2026,4
Aungba,17/06/2026,4
Rimba,17/06/2026,3
Aru,17/06/2026,3
Mambasa,17/06/2026,2
Logo,17/06/2026,2
Drodro,17/06/2026,1
Gety,17/06/2026,1
Kambala,17/06/2026,1
Nia Nia,17/06/2026,1
Fataki,17/06/2026,1
NA,17/06/2026,17
Butembo,17/06/2026,25
Katwa,17/06/2026,24
Beni,17/06/2026,15
Oicha,17/06/2026,3
Kalunguta,17/06/2026,2
Kyondo,17/06/2026,2
Goma,17/06/2026,1
Masereka,17/06/2026,1
Vuhovi,17/06/2026,1
Mabalako,17/06/2026,1
Musienene,17/06/2026,1
Miti Murhesa,17/06/2026,3
Bunia,18/06/2026,253
Rwampara,18/06/2026,199
Mongbwalu,18/06/2026,198
Nyankunde,18/06/2026,77
Nizi,18/06/2026,26
Lita,18/06/2026,20
Komanda,18/06/2026,10
Bambu,18/06/2026,9
Kilo,18/06/2026,7
Mangala,18/06/2026,7
Tchomia,18/06/2026,5
Damas,18/06/2026,4
Aungba,18/06/2026,6
Rimba,18/06/2026,3
Aru,18/06/2026,3
Mambasa,18/06/2026,2
Logo,18/06/2026,2
Drodro,18/06/2026,1
Gety,18/06/2026,1
Kambala,18/06/2026,1
Nia Nia,18/06/2026,1
Fataki,18/06/2026,1
Butembo,18/06/2026,25
Katwa,18/06/2026,24
Beni,18/06/2026,16
Oicha,18/06/2026,3
Kalunguta,18/06/2026,2
Kyondo,18/06/2026,2
Goma,18/06/2026,1
Masereka,18/06/2026,1
Vuhovi,18/06/2026,1
Mabalako,18/06/2026,1
Musienene,18/06/2026,1
Miti Murhesa,18/06/2026,3
NA,18/06/2026,17-
Bunia,19/06/2026,259
Rwampara,19/06/2026,201
Mongbwalu,19/06/2026,209
Nyankunde,19/06/2026,79
Nizi,19/06/2026,26
Lita,19/06/2026,20
Komanda,19/06/2026,10
Bambu,19/06/2026,9
Kilo,19/06/2026,7
Mangala,19/06/2026,7
Tchomia,19/06/2026,5
Damas,19/06/2026,4
Aungba,19/06/2026,6
Rimba,19/06/2026,3
Aru,19/06/2026,3
Mambasa,19/06/2026,2
Logo,19/06/2026,2
Drodro,19/06/2026,1
Gety,19/06/2026,1
Kambala,19/06/2026,1
Nia Nia,19/06/2026,1
Fataki,19/06/2026,1
Butembo,19/06/2026,25
