,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
contacts_seen,1.0,0.0860201121512189,0.06795538024655878,0.05018008857322342,0.380346478046641,-0.28644073945145115,-0.3438601206076009,0.16108860696629138,-0.3039012038042665,-0.7417113451051565,-0.1206053653807445,0.05861331734952182,0.49547452071959125,-0.40334896825446653,0.5960846190088995,-0.24589129224926407,0.04628410129954844,-0.2837208595203256,0.1295172570815069,0.130489085546924,0.17193908774499786,0.17193908774499786,0.130489085546924,0.1295172570815069,-0.34719085105002156,,,-0.18146285077075128,-0.25526279310573496,-0.35923323650565914,-0.35923323650565936,-0.3592332365056593,-0.35923323650565936,-0.3592332365056592,-0.12153804649701765,-0.06411179466726895
cumulative_confirmed_cases,0.0860201121512189,1.0,0.8099508383353154,0.7677676721739783,0.6879482183786003,0.7500860301751148,0.7324030048874971,-0.0256617589787858,0.14478699232437303,0.11229789451817249,0.6518038270043177,0.358909716300535,0.46935009504607583,0.24425905750416269,0.02664678869460947,0.22280897975970318,0.30396231336176066,0.14460538699831904,0.6185799782174999,0.6068882119738209,0.3262440312137955,0.3262440312137955,0.6068882119738209,0.6185799782174999,-0.2045786115483719,-0.007892360753782383,-0.00014202664286938133,-0.07490557514449966,-0.07173314859053077,0.11673135644054214,0.13762240000845355,0.14012406359989393,0.14104324665986043,0.14026301029034227,0.15314906240632362,-0.061260080770615385
cumulative_confirmed_deaths,0.06795538024655878,0.8099508383353154,1.0,0.8278716532605375,0.42489743115073614,0.46729260054236305,0.4648199274951274,-0.027083132755594846,-0.2718563883427567,-0.29998567950736676,0.6213254005931965,0.23302773180422057,0.661641930659248,-0.06069505786069067,-0.09040527978306856,0.14399817470506585,0.18219414153770214,0.2637926457462609,0.9846546425394931,0.984489054033744,0.9007546982220901,0.9007546982220901,0.984489054033744,0.9846546425394931,-0.11259266041319815,-0.10844849110155944,-0.11638788208728279,0.044473267675944714,0.049117078141781484,-0.13358734131459393,-0.1310987485069953,-0.1276554185145352,-0.12475402640905972,-0.12132606132515725,0.16932088485486146,-0.019165158846078903
cumulative_contacts_isolated,0.05018008857322342,0.7677676721739783,0.8278716532605375,1.0,0.631258011283146,0.4260321695151942,0.3301580588909785,0.1800996990341662,0.5710010126551552,0.6875547173719977,0.13767958342210126,0.6158012047644074,0.05560502403174893,0.19858618956098587,0.1655633076921476,0.4787901910393141,0.3154902350116602,0.20536733308507457,0.8495247223103163,0.8374430916434424,0.5006392418446793,0.5006392418446793,0.8374430916434424,0.8495247223103163,-0.353885471172819,-0.49932013690802063,-0.5017589392110644,0.5567779315235073,0.48052889860630194,-0.13080340115926892,-0.0909358989559942,-0.07576515877116893,-0.0701384218970743,-0.0635263838005874,0.5717284044278902,0.5087669077972289
cumulative_contacts_traced,0.380346478046641,0.6879482183786003,0.42489743115073614,0.631258011283146,1.0,0.5383088312212267,0.5499004460460177,-0.08507434146129976,0.4987084799994157,0.5123312887810447,0.25909476299003553,0.16759984972289566,0.4035153112983468,0.3025392081809631,0.25335784128174427,0.15234062547481528,0.22589465839676165,0.03496961545237767,0.44343945472100926,0.4329649714123801,0.22703624065212452,0.22703624065212452,0.4329649714123801,0.44343945472100926,-0.22205301629753088,0.2789488089903469,0.25413464177441497,-0.08035771303482334,-0.046470828130903155,0.1841753301209045,0.21082425597796586,0.21992062371838092,0.22423199614939407,0.23009683236529976,0.06684068373685961,-0.09180840518438199
cumulative_suspected_cases,-0.28644073945145115,0.7500860301751148,0.46729260054236305,0.4260321695151942,0.5383088312212267,1.0,0.987000557101561,0.25648379652172093,0.3421776196284001,0.36224396740779247,0.4150797775060136,0.17477479577286217,0.1000765100312196,0.08149774266197589,-0.04472928321169311,0.27061951329186523,0.4239542401892779,0.3100455631797436,0.3451458745671046,0.33164043699035356,0.11025427607440533,0.11025427607440533,0.33164043699035356,0.3451458745671046,-0.22322251605181367,0.20742834855513803,0.2024837721629649,-0.059497140090659574,-0.03943864279270616,0.1620098883121651,0.1932678032539205,0.20025353072560376,0.2038728541300288,0.204662016073055,0.07953907669947102,-0.16418938228439536
cumulative_suspected_deaths,-0.3438601206076009,0.7324030048874971,0.4648199274951274,0.3301580588909785,0.5499004460460177,0.987000557101561,1.0,0.2068696229469627,0.2777805538055674,0.25707838230603247,0.39818387945859174,0.08072357942874789,0.11217467592660432,0.06669407459202845,-0.0974540581542077,0.21815894424817966,0.4215406246792453,0.3049553516177583,0.2928400341551643,0.2889863386879219,0.25164764853148397,0.25164764853148397,0.2889863386879219,0.2928400341551643,-0.2156897671821655,0.665413068271056,0.6596785519024719,-0.1491482972052135,-0.1255458284965996,0.287822705300257,0.31838720254407854,0.3251848586636981,0.32823248664540905,0.3295446184155358,-0.01893931012296941,-0.22549813596502072
hosp_escaped,0.16108860696629138,-0.0256617589787858,-0.027083132755594846,0.1800996990341662,-0.08507434146129976,0.25648379652172093,0.2068696229469627,1.0,0.09118277485026197,0.248279835644034,0.19458561757889575,0.7281945076557759,-0.02679990690455303,-0.044665761543667644,-0.06967118718137828,0.3378050797813148,0.3490040422985875,-0.13105024357076445,0.36523275239459174,0.34647758671580303,-0.09004205319266081,-0.09004205319266081,0.34647758671580303,0.36523275239459174,-0.1189843121128956,0.447213595499958,0.44721359549995804,0.14975281241640168,0.1972321918737422,0.4190719562741411,0.39768121756544667,0.3996602412633011,0.4002392347967297,0.4066613261720448,0.1443977823733045,0.21344389845187095
hospitalised,-0.3039012038042665,0.14478699232437303,-0.2718563883427567,0.5710010126551552,0.4987084799994157,0.3421776196284001,0.2777805538055674,0.09118277485026197,1.0,0.9750903305166331,0.029417131462313714,0.4667385937439625,-0.22349859905721606,0.7633780918942908,0.2672477289811125,0.611353257475127,0.4529641508994669,0.4069426081794259,0.1735514431823728,0.15477029181257923,-0.25003648186967814,-0.25003648186967814,0.15477029181257923,0.1735514431823728,-0.47322240474084115,0.6123724356957945,0.6123724356957947,0.6042960541947037,0.5884289855745072,0.19414264302268353,0.2538552101092415,0.24862294285701564,0.24708170574827823,0.22965814991607958,0.26929137753363586,0.34759921690118756
in_bed_previous_day,-0.7417113451051565,0.11229789451817249,-0.29998567950736676,0.6875547173719977,0.5123312887810447,0.36224396740779247,0.25707838230603247,0.248279835644034,0.9750903305166331,1.0,-0.1353799528004948,0.6996098567940333,-0.1946901838664059,0.7055578218673103,0.5390395517626799,0.6556336370628048,0.5060743756849977,0.29108390101320647,0.9170283735945427,0.91166600155273,-0.35514790064348206,-0.35514790064348206,0.91166600155273,0.9170283735945427,-0.5801711065442008,0.6123724356957946,0.6123724356957946,0.46999241235242156,0.4650931039051945,0.2769599170453511,0.33136662250772686,0.326596251798074,0.3251912330845807,0.30931197614687705,0.16731870957098316,0.44726472113429216
new_confirmed_cases,-0.1206053653807445,0.6518038270043177,0.6213254005931965,0.13767958342210126,0.25909476299003553,0.4150797775060136,0.39818387945859174,0.19458561757889575,0.029417131462313714,-0.1353799528004948,1.0,0.2911991437973538,0.5085916470057978,0.44495651066654396,-0.07138012905322233,0.504785809469094,0.45474037187450955,0.1771079566347101,0.1666811264205539,0.1500270331507974,-0.129174407127318,-0.129174407127318,0.1500270331507974,0.1666811264205539,-0.1172584750611748,-0.09477891391730715,-0.08945587105623931,0.0013979386152883553,-0.00039960522001416464,-0.026978517254050816,-0.015484196288598269,-0.012217336954230357,-0.009745056151548607,-0.01015658327542609,0.17691915010083353,-0.005884538170159396
new_contacts_isolated,0.05861331734952182,0.358909716300535,0.23302773180422057,0.6158012047644074,0.16759984972289566,0.17477479577286217,0.08072357942874789,0.7281945076557759,0.4667385937439625,0.6996098567940333,0.2911991437973538,1.0,0.33684793957820713,0.33245317963837934,0.20949532016564965,0.7415433611283874,0.6067388010074289,0.5093519805397057,0.23708090956435085,0.21786130158077235,-0.09900990081826133,-0.09900990081826133,0.21786130158077235,0.23708090956435085,-0.30850944867755487,-0.6471964807510487,-0.6387197901570829,0.5267934690595264,0.4505211617780645,-0.34238024936413597,-0.3017641975986019,-0.2905765227357189,-0.28708493180074707,-0.28564665690278124,0.5903132784579357,0.567856920223819
new_contacts_listed,0.49547452071959125,0.46935009504607583,0.661641930659248,0.05560502403174893,0.4035153112983468,0.1000765100312196,0.11217467592660432,-0.02679990690455303,-0.22349859905721606,-0.1946901838664059,0.5085916470057978,0.33684793957820713,1.0,0.2219114935900218,0.0800670849908493,0.21477437856060047,0.1792361131637926,0.10983183334534528,-0.16351353388364329,-0.1689082247604964,-0.1920383003195484,-0.1920383003195484,-0.1689082247604964,-0.16351353388364329,-0.02689301955371212,0.1469875907728383,0.13672506477595056,-0.0768558074894154,-0.07164855197960239,0.1053654471265329,0.1120741600618957,0.11529783101086455,0.116691356322737,0.1194575156613272,0.04029851842403106,0.01373167031940212
new_hosp_admissions,-0.40334896825446653,0.24425905750416269,-0.06069505786069067,0.19858618956098587,0.3025392081809631,0.08149774266197589,0.06669407459202845,-0.044665761543667644,0.7633780918942908,0.7055578218673103,0.44495651066654396,0.33245317963837934,0.2219114935900218,1.0,0.02873519146383352,0.5556464146704092,0.13142431587133133,0.33018268301092785,-0.36186786956642203,-0.37773576076776766,-0.6330543776017197,-0.6330543776017197,-0.37773576076776766,-0.36186786956642203,-0.2521432229694973,0.5773502691896258,0.5773502691896258,0.3276337986162579,0.308297878497946,0.09386143806717427,0.12860505835025451,0.12553330044941202,0.124629451320325,0.11444288490153862,0.1217102814476065,0.11715914917339935
new_hosp_detainees,0.5960846190088995,0.02664678869460947,-0.09040527978306856,0.1655633076921476,0.25335784128174427,-0.04472928321169311,-0.0974540581542077,-0.06967118718137828,0.2672477289811125,0.5390395517626799,-0.07138012905322233,0.20949532016564965,0.0800670849908493,0.02873519146383352,1.0,0.04832351858652295,0.22311508729188823,-0.072672493146224,0.03279913122010277,0.02982000518427018,-0.035290213005538265,-0.035290213005538265,0.02982000518427018,0.03279913122010277,-0.2599382617444554,,,0.18650368499596778,0.13284343217029057,0.010928251037463633,0.040935427367186084,0.03826572691628011,0.03748082863769065,0.02865476585045749,0.08025738349062836,0.1385581561626676
new_hosp_other,-0.24589129224926407,0.22280897975970318,0.14399817470506585,0.4787901910393141,0.15234062547481528,0.27061951329186523,0.21815894424817966,0.3378050797813148,0.611353257475127,0.6556336370628048,0.504785809469094,0.7415433611283874,0.21477437856060047,0.5556464146704092,0.04832351858652295,1.0,0.5646034609273549,0.36429170641619035,0.03503179819921409,0.017634877410199867,-0.33590039320307474,-0.33590039320307474,0.017634877410199867,0.03503179819921409,-0.219425144082278,0.5773502691896258,0.5773502691896258,0.58039956690167,0.5796159918654072,0.3394628608542862,0.34004211525773165,0.34006204917375843,0.34006524533383886,0.34001797937012407,0.4793071237885547,0.467840002832501
new_suspected_cases,0.04628410129954844,0.30396231336176066,0.18219414153770214,0.3154902350116602,0.22589465839676165,0.4239542401892779,0.4215406246792453,0.3490040422985875,0.4529641508994669,0.5060743756849977,0.45474037187450955,0.6067388010074289,0.1792361131637926,0.13142431587133133,0.22311508729188823,0.5646034609273549,1.0,0.8013542525813018,0.5011142468762139,0.4831692372398153,0.10916501605951769,0.10916501605951769,0.4831692372398153,0.5011142468762139,-0.17746272128433466,0.0168993160852302,0.01746432134007597,0.11063887679651008,0.11166234514841103,0.06507686206961369,0.0858831049010926,0.09021712732900058,0.09265840828374546,0.09285744060272881,0.2000543812928814,-0.05464371042328071
new_suspected_deaths,-0.2837208595203256,0.14460538699831904,0.2637926457462609,0.20536733308507457,0.03496961545237767,0.3100455631797436,0.3049553516177583,-0.13105024357076445,0.4069426081794259,0.29108390101320647,0.1771079566347101,0.5093519805397057,0.10983183334534528,0.33018268301092785,-0.072672493146224,0.36429170641619035,0.8013542525813018,1.0,0.6767018960668267,0.6681598486766215,0.4050452090395347,0.4050452090395347,0.6681598486766215,0.6767018960668267,-0.1375429209138423,0.0842960176253352,0.08218650790757495,-0.047189119747052005,-0.04053663729018556,0.11013376948984693,0.1257600357197661,0.12903170575715722,0.13015963566131186,0.13133701424926963,0.032761248232704536,-0.08654819814572648
total_poe_hand_washing,0.1295172570815069,0.6185799782174999,0.9846546425394931,0.8495247223103163,0.44343945472100926,0.3451458745671046,0.2928400341551643,0.36523275239459174,0.1735514431823728,0.9170283735945427,0.1666811264205539,0.23708090956435085,-0.16351353388364329,-0.36186786956642203,0.03279913122010277,0.03503179819921409,0.5011142468762139,0.6767018960668267,1.0,0.9995511520758478,0.7955422813881678,0.7955422813881678,0.9995511520758478,1.0,-0.1361745665178117,-0.8105595921434142,-0.8101443582765158,0.6705211180246904,0.6300564058099922,-0.6938273128871949,-0.7025459196867374,-0.7017983882002651,-0.7023759696023146,-0.7042261511357752,0.6487353404529812,0.5303771204291742
total_poe_passed,0.130489085546924,0.6068882119738209,0.984489054033744,0.8374430916434424,0.4329649714123801,0.33164043699035356,0.2889863386879219,0.34647758671580303,0.15477029181257923,0.91166600155273,0.1500270331507974,0.21786130158077235,-0.1689082247604964,-0.37773576076776766,0.02982000518427018,0.017634877410199867,0.4831692372398153,0.6681598486766215,0.9995511520758478,1.0,0.8133368260651879,0.8133368260651879,1.0,0.9995511520758479,-0.12102631431964837,-0.7934302841233175,-0.7929731714370537,0.6583712993930889,0.6178848653460491,-0.6810559715988966,-0.6890867765543854,-0.6880913220537881,-0.6885716762229502,-0.6903355989776371,0.6418950429184797,0.5155182040094374
total_poe_refused_hand_washing,0.17193908774499786,0.3262440312137955,0.9007546982220901,0.5006392418446793,0.22703624065212452,0.11025427607440533,0.25164764853148397,-0.09004205319266081,-0.25003648186967814,-0.35514790064348206,-0.129174407127318,-0.09900990081826133,-0.1920383003195484,-0.6330543776017197,-0.035290213005538265,-0.33590039320307474,0.10916501605951769,0.4050452090395347,0.7955422813881678,0.8133368260651879,1.0,1.0,0.8133368260651879,0.7955422813881678,0.2265099203100757,-0.5843829751543912,-0.583358150724414,0.3248828803110009,0.2944462324640496,-0.5046897259656891,-0.505136107217327,-0.5023345902773316,-0.5019623824930916,-0.5026645655591846,0.40761490703990516,0.13652290926480504
total_poe_refused_screening,0.17193908774499786,0.3262440312137955,0.9007546982220901,0.5006392418446793,0.22703624065212452,0.11025427607440533,0.25164764853148397,-0.09004205319266081,-0.25003648186967814,-0.35514790064348206,-0.129174407127318,-0.09900990081826133,-0.1920383003195484,-0.6330543776017197,-0.035290213005538265,-0.33590039320307474,0.10916501605951769,0.4050452090395347,0.7955422813881678,0.8133368260651879,1.0,1.0,0.8133368260651879,0.7955422813881678,0.2265099203100757,-0.5843829751543912,-0.583358150724414,0.3248828803110009,0.2944462324640496,-0.5046897259656891,-0.505136107217327,-0.5023345902773316,-0.5019623824930916,-0.5026645655591846,0.40761490703990516,0.13652290926480504
total_poe_sanitised,0.130489085546924,0.6068882119738209,0.984489054033744,0.8374430916434424,0.4329649714123801,0.33164043699035356,0.2889863386879219,0.34647758671580303,0.15477029181257923,0.91166600155273,0.1500270331507974,0.21786130158077235,-0.1689082247604964,-0.37773576076776766,0.02982000518427018,0.017634877410199867,0.4831692372398153,0.6681598486766215,0.9995511520758478,1.0,0.8133368260651879,0.8133368260651879,1.0,0.9995511520758479,-0.12102631431964837,-0.7934302841233175,-0.7929731714370537,0.6583712993930889,0.6178848653460491,-0.6810559715988966,-0.6890867765543854,-0.6880913220537881,-0.6885716762229502,-0.6903355989776371,0.6418950429184797,0.5155182040094374
total_poe_screened,0.1295172570815069,0.6185799782174999,0.9846546425394931,0.8495247223103163,0.44343945472100926,0.3451458745671046,0.2928400341551643,0.36523275239459174,0.1735514431823728,0.9170283735945427,0.1666811264205539,0.23708090956435085,-0.16351353388364329,-0.36186786956642203,0.03279913122010277,0.03503179819921409,0.5011142468762139,0.6767018960668267,1.0,0.9995511520758479,0.7955422813881678,0.7955422813881678,0.9995511520758479,1.0,-0.1361745665178117,-0.8105595921434142,-0.8101443582765158,0.6705211180246904,0.6300564058099922,-0.6938273128871949,-0.7025459196867374,-0.7017983882002651,-0.7023759696023146,-0.7042261511357752,0.6487353404529812,0.5303771204291742
min_minutes_to_active_zone,-0.34719085105002156,-0.2045786115483719,-0.11259266041319815,-0.353885471172819,-0.22205301629753088,-0.22322251605181367,-0.2156897671821655,-0.1189843121128956,-0.47322240474084115,-0.5801711065442008,-0.1172584750611748,-0.30850944867755487,-0.02689301955371212,-0.2521432229694973,-0.2599382617444554,-0.219425144082278,-0.17746272128433466,-0.1375429209138423,-0.1361745665178117,-0.12102631431964837,0.2265099203100757,0.2265099203100757,-0.12102631431964837,-0.1361745665178117,1.0,-0.36901514748497144,-0.36825924281294853,-0.12491005244290523,-0.1105213991656026,-0.3738343005092255,-0.38181850050132177,-0.38507724171745167,-0.3884034943249918,-0.39055430621718745,0.08740025115875986,0.20909350497064833
flowminder_short_trips__ituri_subscriber_days_followup_20260608,,-0.007892360753782383,-0.10844849110155944,-0.49932013690802063,0.2789488089903469,0.20742834855513803,0.665413068271056,0.447213595499958,0.6123724356957945,0.6123724356957946,-0.09477891391730715,-0.6471964807510487,0.1469875907728383,0.5773502691896258,,0.5773502691896258,0.0168993160852302,0.0842960176253352,-0.8105595921434142,-0.7934302841233175,-0.5843829751543912,-0.5843829751543912,-0.7934302841233175,-0.8105595921434142,-0.36901514748497144,1.0,0.9979032405836211,-0.3488254362152905,-0.34593276673562956,0.9865611346740459,0.985878493422689,0.9858718343375722,0.9852622653933067,0.986713810942453,-0.5144780701988368,-0.34537345600056346
flowminder_short_trips__ituri_subscriber_days_prior_20260503,,-0.00014202664286938133,-0.11638788208728279,-0.5017589392110644,0.25413464177441497,0.2024837721629649,0.6596785519024719,0.44721359549995804,0.6123724356957947,0.6123724356957946,-0.08945587105623931,-0.6387197901570829,0.13672506477595056,0.5773502691896258,,0.5773502691896258,0.01746432134007597,0.08218650790757495,-0.8101443582765158,-0.7929731714370537,-0.583358150724414,-0.583358150724414,-0.7929731714370537,-0.8101443582765158,-0.36825924281294853,0.9979032405836211,1.0,-0.350049379605323,-0.3466037347958947,0.9932938382992681,0.9926029696037159,0.9917197285599961,0.9908283591605184,0.991074742132293,-0.5175713461892398,-0.34751999879090295
flowminder_short_trips__nk_subscriber_days_followup_20260608,-0.18146285077075128,-0.07490557514449966,0.044473267675944714,0.5567779315235073,-0.08035771303482334,-0.059497140090659574,-0.1491482972052135,0.14975281241640168,0.6042960541947037,0.46999241235242156,0.0013979386152883553,0.5267934690595264,-0.0768558074894154,0.3276337986162579,0.18650368499596778,0.58039956690167,0.11063887679651008,-0.047189119747052005,0.6705211180246904,0.6583712993930889,0.3248828803110009,0.3248828803110009,0.6583712993930889,0.6705211180246904,-0.12491005244290523,-0.3488254362152905,-0.350049379605323,1.0,0.994391058139052,-0.3409841314079554,-0.3414160103527565,-0.33924927333949745,-0.33627294209981373,-0.33621100443019125,0.14867201894831425,-0.13627833341766604
flowminder_short_trips__nk_subscriber_days_prior_20260503,-0.25526279310573496,-0.07173314859053077,0.049117078141781484,0.48052889860630194,-0.046470828130903155,-0.03943864279270616,-0.1255458284965996,0.1972321918737422,0.5884289855745072,0.4650931039051945,-0.00039960522001416464,0.4505211617780645,-0.07164855197960239,0.308297878497946,0.13284343217029057,0.5796159918654072,0.11166234514841103,-0.04053663729018556,0.6300564058099922,0.6178848653460491,0.2944462324640496,0.2944462324640496,0.6178848653460491,0.6300564058099922,-0.1105213991656026,-0.34593276673562956,-0.3466037347958947,0.994391058139052,1.0,-0.33798605873215987,-0.3379572657441114,-0.3357601125437108,-0.3326064427718455,-0.33258003698126787,0.13639189020467993,-0.13214760829274286
flowminder_short_trips__outflow_20260430,-0.35923323650565914,0.11673135644054214,-0.13358734131459393,-0.13080340115926892,0.1841753301209045,0.1620098883121651,0.287822705300257,0.4190719562741411,0.19414264302268353,0.2769599170453511,-0.026978517254050816,-0.34238024936413597,0.1053654471265329,0.09386143806717427,0.010928251037463633,0.3394628608542862,0.06507686206961369,0.11013376948984693,-0.6938273128871949,-0.6810559715988966,-0.5046897259656891,-0.5046897259656891,-0.6810559715988966,-0.6938273128871949,-0.3738343005092255,0.9865611346740459,0.9932938382992681,-0.3409841314079554,-0.33798605873215987,1.0,0.9986248069900299,0.9969223910258175,0.9956034606318481,0.9943644187289821,-0.5133963209148188,-0.352563936347983
flowminder_short_trips__outflow_20260507,-0.35923323650565936,0.13762240000845355,-0.1310987485069953,-0.0909358989559942,0.21082425597796586,0.1932678032539205,0.31838720254407854,0.39768121756544667,0.2538552101092415,0.33136662250772686,-0.015484196288598269,-0.3017641975986019,0.1120741600618957,0.12860505835025451,0.040935427367186084,0.34004211525773165,0.0858831049010926,0.1257600357197661,-0.7025459196867374,-0.6890867765543854,-0.505136107217327,-0.505136107217327,-0.6890867765543854,-0.7025459196867374,-0.38181850050132177,0.985878493422689,0.9926029696037159,-0.3414160103527565,-0.3379572657441114,0.9986248069900299,1.0,0.9995376258425092,0.9989138397766242,0.9980580842177064,-0.5212435225946498,-0.36351950963093266
flowminder_short_trips__outflow_20260514,-0.3592332365056593,0.14012406359989393,-0.1276554185145352,-0.07576515877116893,0.21992062371838092,0.20025353072560376,0.3251848586636981,0.3996602412633011,0.24862294285701564,0.326596251798074,-0.012217336954230357,-0.2905765227357189,0.11529783101086455,0.12553330044941202,0.03826572691628011,0.34006204917375843,0.09021712732900058,0.12903170575715722,-0.7017983882002651,-0.6880913220537881,-0.5023345902773316,-0.5023345902773316,-0.6880913220537881,-0.7017983882002651,-0.38507724171745167,0.9858718343375722,0.9917197285599961,-0.33924927333949745,-0.3357601125437108,0.9969223910258175,0.9995376258425092,1.0,0.9998575555794375,0.9994496392318688,-0.5188617580961803,-0.36468528420788027
flowminder_short_trips__outflow_20260521,-0.35923323650565936,0.14104324665986043,-0.12475402640905972,-0.0701384218970743,0.22423199614939407,0.2038728541300288,0.32823248664540905,0.4002392347967297,0.24708170574827823,0.3251912330845807,-0.009745056151548607,-0.28708493180074707,0.116691356322737,0.124629451320325,0.03748082863769065,0.34006524533383886,0.09265840828374546,0.13015963566131186,-0.7023759696023146,-0.6885716762229502,-0.5019623824930916,-0.5019623824930916,-0.6885716762229502,-0.7023759696023146,-0.3884034943249918,0.9852622653933067,0.9908283591605184,-0.33627294209981373,-0.3326064427718455,0.9956034606318481,0.9989138397766242,0.9998575555794375,1.0,0.9997952910912875,-0.5172333358128928,-0.3663522435702724
flowminder_short_trips__outflow_20260524,-0.3592332365056592,0.14026301029034227,-0.12132606132515725,-0.0635263838005874,0.23009683236529976,0.204662016073055,0.3295446184155358,0.4066613261720448,0.22965814991607958,0.30931197614687705,-0.01015658327542609,-0.28564665690278124,0.1194575156613272,0.11444288490153862,0.02865476585045749,0.34001797937012407,0.09285744060272881,0.13133701424926963,-0.7042261511357752,-0.6903355989776371,-0.5026645655591846,-0.5026645655591846,-0.6903355989776371,-0.7042261511357752,-0.39055430621718745,0.986713810942453,0.991074742132293,-0.33621100443019125,-0.33258003698126787,0.9943644187289821,0.9980580842177064,0.9994496392318688,0.9997952910912875,1.0,-0.5172305841130385,-0.3676094634538325
pop_count,-0.12153804649701765,0.15314906240632362,0.16932088485486146,0.5717284044278902,0.06684068373685961,0.07953907669947102,-0.01893931012296941,0.1443977823733045,0.26929137753363586,0.16731870957098316,0.17691915010083353,0.5903132784579357,0.04029851842403106,0.1217102814476065,0.08025738349062836,0.4793071237885547,0.2000543812928814,0.032761248232704536,0.6487353404529812,0.6418950429184797,0.40761490703990516,0.40761490703990516,0.6418950429184797,0.6487353404529812,0.08740025115875986,-0.5144780701988368,-0.5175713461892398,0.14867201894831425,0.13639189020467993,-0.5133963209148188,-0.5212435225946498,-0.5188617580961803,-0.5172333358128928,-0.5172305841130385,1.0,0.7021403968463817
pop_density,-0.06411179466726895,-0.061260080770615385,-0.019165158846078903,0.5087669077972289,-0.09180840518438199,-0.16418938228439536,-0.22549813596502072,0.21344389845187095,0.34759921690118756,0.44726472113429216,-0.005884538170159396,0.567856920223819,0.01373167031940212,0.11715914917339935,0.1385581561626676,0.467840002832501,-0.05464371042328071,-0.08654819814572648,0.5303771204291742,0.5155182040094374,0.13652290926480504,0.13652290926480504,0.5155182040094374,0.5303771204291742,0.20909350497064833,-0.34537345600056346,-0.34751999879090295,-0.13627833341766604,-0.13214760829274286,-0.352563936347983,-0.36351950963093266,-0.36468528420788027,-0.3663522435702724,-0.3676094634538325,0.7021403968463817,1.0
