nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
Katwa,2026-05-25,,4.0,,,99.0,13.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,0.0,0.05021,0.05049,,,0.41,0.57,0.73,0.89,0.96,612242.341814758,7809.37779884317
Katwa,2026-05-26,,,0.0,,99.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,9.291,0.05021,0.05049,,,0.41,0.57,0.73,0.89,0.96,612242.341814758,7809.37779884317
Katwa,2026-05-27,,4.0,0.0,,111.0,,0.0,,,,,,,,,,,0.0,,12.0,,,,,,,,,,,,9.291,0.05021,0.05049,,,0.41,0.57,0.73,0.89,0.96,612242.341814758,7809.37779884317
Katwa,2026-05-28,,4.0,3.0,,111.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,9.291,0.05021,0.05049,,,0.41,0.57,0.73,0.89,0.96,612242.341814758,7809.37779884317
Katwa,2026-05-29,,4.0,3.0,,221.0,,0.0,,,,,,,,,,,,,112.0,,,,,,,,,,,,9.291,0.05021,0.05049,,,0.41,0.57,0.73,0.89,0.96,612242.341814758,7809.37779884317
Kilo,2026-05-21,,1.0,0.0,,0.0,1.0,0.0,,,,,,,,,,,1.0,,0.0,,,,1.0,0.0,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-22,,1.0,0.0,,176.0,6.0,2.0,,,,,,,,,,,0.0,,176.0,,,,1.0,2.0,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-23,,1.0,0.0,8.0,0.0,6.0,2.0,,,,,,,,,,,0.0,8.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-24,,1.0,0.0,,0.0,8.0,2.0,,,,,,,,,,,0.0,,0.0,,,,1.0,0.0,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-25,,1.0,0.0,,0.0,18.0,0.0,,,,,,,,,,,0.0,,0.0,,,,10.0,0.0,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-26,,1.0,0.0,,0.0,18.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-27,,1.0,0.0,,41.0,8.0,2.0,,,,,,,,,,,0.0,,41.0,,,,,,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-28,,2.0,0.0,,41.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Kilo,2026-05-29,,2.0,0.0,,41.0,8.0,2.0,,,,,,,,,,,0.0,,41.0,,,,,,,,,,,,0.0,,,,,,,,,,43138.8537156332,107.546199583958
Komanda,2026-05-19,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-22,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-23,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-24,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-26,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.554,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-27,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-28,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Komanda,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587,0.1874,0.2105,0.09076,0.1128,1.76,2.55,3.03,3.46,3.64,219948.443294745,69.5013595444792
Kyondo,2026-05-24,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,38.875,0.006672,0.005093,0.332,0.2914,0.07,0.12,0.17,0.22,0.25,270343.895203815,287.209696136707
Kyondo,2026-05-25,,1.0,,,16.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,30.462,0.006672,0.005093,0.332,0.2914,0.07,0.12,0.17,0.22,0.25,270343.895203815,287.209696136707
Kyondo,2026-05-26,,1.0,,,16.0,3.0,0.0,,,,,,,,,,,1.0,,0.0,,,,3.0,0.0,,,,,,,0.0,0.006672,0.005093,0.332,0.2914,0.07,0.12,0.17,0.22,0.25,270343.895203815,287.209696136707
Kyondo,2026-05-27,,,,,16.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,38.875,0.006672,0.005093,0.332,0.2914,0.07,0.12,0.17,0.22,0.25,270343.895203815,287.209696136707
Kyondo,2026-05-28,,1.0,0.0,,16.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,38.875,0.006672,0.005093,0.332,0.2914,0.07,0.12,0.17,0.22,0.25,270343.895203815,287.209696136707
Kyondo,2026-05-29,,1.0,0.0,,16.0,,0.0,,,,,,,,,,,,,16.0,,,,,,,,,,,,38.875,0.006672,0.005093,0.332,0.2914,0.07,0.12,0.17,0.22,0.25,270343.895203815,287.209696136707
Lita,2026-05-28,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.948,1.085,1.153,0.01745,0.01769,11.0,15.11,18.21,20.6,21.55,113363.824346803,228.628253664484
Lita,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,26.948,1.085,1.153,0.01745,0.01769,11.0,15.11,18.21,20.6,21.55,113363.824346803,228.628253664484
Mahagi,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,184.0,0.0,0.0,184.0,184.0,163.709,0.04373,0.05086,0.001869,0.001872,0.46,0.63,0.79,0.92,0.97,247892.507379202,667.021055254224
Mambasa,2026-05-26,,0.0,,,,5.0,1.0,,,,,,,,,,,0.0,,,,,,5.0,1.0,,,,,,,0.0,0.04492,0.04553,0.08711,0.09481,0.44,0.58,0.69,0.81,0.86,150807.291095497,9.38305119840287
Mambasa,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.857,0.04492,0.04553,0.08711,0.09481,0.44,0.58,0.69,0.81,0.86,150807.291095497,9.38305119840287
Mambasa,2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.857,0.04492,0.04553,0.08711,0.09481,0.44,0.58,0.69,0.81,0.86,150807.291095497,9.38305119840287
Mambasa,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.857,0.04492,0.04553,0.08711,0.09481,0.44,0.58,0.69,0.81,0.86,150807.291095497,9.38305119840287
Mangala,2026-05-19,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,79.318,,,,,,,,,,89713.4037537278,162.268440527417
Mangala,2026-05-28,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.639,,,,,,,,,,89713.4037537278,162.268440527417
Mangala,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,53.639,,,,,,,,,,89713.4037537278,162.268440527417
Manguredjipa,2026-05-29,,0.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,108.605,0.0003356,0.0003665,0.03436,0.02978,0.0,0.0,0.01,0.01,0.01,68013.7287993651,9.59707431221604
Miti Murhesa,2026-05-21,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,1.0,,,,,,1.0,0.0,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-22,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,5.0,0.0,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-23,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-24,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-25,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-26,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-27,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-28,,3.0,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Miti Murhesa,2026-05-29,,3.0,1.0,,,1.0,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,303982.79461199,722.651452069188
Mongbwalu,2026-05-14,,0.0,,,82.0,,57.0,,,,,,,,,,,0.0,,82.0,,,,,57.0,,,,,,,,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-15,,0.0,,3.0,,,,,,,,,,,,,,0.0,3.0,,,,,0.0,,,,,,,,99.224,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-18,,1.0,,12.0,161.0,302.0,74.0,,,,,,,,,,,1.0,9.0,79.0,,,,56.0,17.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-19,0.0,13.0,0.0,16.0,176.0,309.0,77.0,,,,,,,,,,,12.0,4.0,15.0,,,,7.0,3.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-20,0.0,13.0,0.0,22.0,176.0,317.0,80.0,2.0,30.0,,,,,,,,,0.0,6.0,0.0,21.0,0.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-21,0.0,14.0,0.0,23.0,176.0,322.0,84.0,1.0,36.0,,,,,,,,,1.0,1.0,0.0,27.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-22,46.0,10.0,0.0,30.0,222.0,339.0,88.0,,34.0,30.0,,,,,,,,0.0,7.0,46.0,4.0,0.0,4.0,17.0,4.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-23,,19.0,0.0,30.0,222.0,339.0,88.0,18.0,31.0,28.0,,,,,,,,9.0,,0.0,3.0,0.0,3.0,,0.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-24,,19.0,0.0,,222.0,339.0,88.0,0.0,18.0,13.0,,,,,,,,0.0,,0.0,5.0,0.0,5.0,,0.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-25,,19.0,0.0,,222.0,364.0,88.0,,,,,,,,,,,0.0,,0.0,,,,25.0,0.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-26,,20.0,0.0,,222.0,375.0,88.0,,,,,,,,,,,1.0,,0.0,,,,11.0,0.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-27,,20.0,0.0,,222.0,339.0,88.0,0.0,,,,,,,,,,0.0,,0.0,10.0,1.0,1.0,,,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-28,,47.0,10.0,,222.0,346.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Mongbwalu,2026-05-29,,47.0,10.0,,222.0,346.0,88.0,3.0,11.0,12.0,,,,,,,,8.0,,235.0,,0.0,,7.0,0.0,,,,,,,0.0,,,0.03859,0.05757,,,,,,157714.270248931,49.26880991961
Nizi,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,26.115,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-21,,1.0,0.0,,0.0,1.0,0.0,,,,,,,,,,,1.0,,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-22,,2.0,0.0,1.0,0.0,5.0,1.0,,,,,,,,,,,1.0,1.0,0.0,,,,4.0,1.0,,,0.0,0.0,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-23,15.0,2.0,0.0,1.0,22.0,6.0,2.0,,,,,,,,,,,0.0,0.0,7.0,,,,1.0,1.0,,,0.0,0.0,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-24,,2.0,0.0,,22.0,6.0,2.0,,,,,,,,,,,0.0,,0.0,,,,1.0,0.0,,,,,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-25,,2.0,,,22.0,9.0,2.0,,,,,,,,,,,0.0,,0.0,,,,3.0,0.0,,,,,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-26,,2.0,0.0,,22.0,15.0,2.0,,,,,,,,,,,0.0,,0.0,,,,6.0,0.0,,,,,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-27,,2.0,0.0,,220.0,6.0,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-28,,2.0,0.0,,220.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nizi,2026-05-29,,2.0,0.0,,260.0,6.0,2.0,,,,,,,,,,,0.0,,288.0,,,,,,,,,,,,0.0,0.932,0.9881,0.004008,0.004992,9.97,12.62,14.45,15.83,16.33,129696.901351642,671.566862038288
Nyankunde,2026-05-18,,4.0,,3.0,133.0,14.0,1.0,,,,,,,,,,,4.0,3.0,133.0,,,,14.0,1.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-19,0.0,4.0,0.0,8.0,133.0,19.0,5.0,,,,,,,,,,,0.0,5.0,0.0,,,,5.0,4.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-20,0.0,5.0,0.0,17.0,133.0,28.0,5.0,0.0,16.0,,,,,,,,,1.0,9.0,0.0,15.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-21,207.0,11.0,0.0,26.0,340.0,38.0,6.0,0.0,23.0,,,,,,,,,2.0,9.0,207.0,16.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-22,234.0,9.0,0.0,6.0,365.0,45.0,8.0,,24.0,22.0,,,,,,,,0.0,6.0,25.0,2.0,1.0,1.0,7.0,2.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-23,,9.0,0.0,6.0,365.0,45.0,8.0,0.0,33.0,26.0,,,,,,,,0.0,,0.0,7.0,3.0,4.0,,0.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-24,,9.0,0.0,,365.0,45.0,11.0,0.0,33.0,33.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-25,,9.0,0.0,,365.0,66.0,15.0,,,,,,,,,,,0.0,,0.0,,,,21.0,4.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-26,,10.0,0.0,,365.0,70.0,15.0,,,,,,,,,,,1.0,,0.0,,,,4.0,0.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-27,,10.0,0.0,,397.0,45.0,11.0,0.0,,,,,,,,,,0.0,,32.0,39.0,0.0,0.0,,,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-28,,19.0,1.0,,397.0,52.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Nyankunde,2026-05-29,,19.0,1.0,,743.0,52.0,12.0,0.0,38.0,38.0,,,,,,,,2.0,,435.0,,0.0,,7.0,1.0,,,,,,,0.0,,,0.00953,0.01063,3.45,4.89,5.8,6.48,6.8,94004.2441913015,100.872453475923
Oicha,2026-05-24,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,104.876,0.01479,0.01586,0.4433,0.476,0.25,0.43,0.58,0.74,0.8,274997.934806786,217.407676331775
Oicha,2026-05-25,,1.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,100.687,0.01479,0.01586,0.4433,0.476,0.25,0.43,0.58,0.74,0.8,274997.934806786,217.407676331775
Oicha,2026-05-26,,1.0,,,,8.0,0.0,,,,,,,,,,,0.0,,,,,,8.0,0.0,,,,,,,0.0,0.01479,0.01586,0.4433,0.476,0.25,0.43,0.58,0.74,0.8,274997.934806786,217.407676331775
Oicha,2026-05-27,,2.0,,,,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,53.126,0.01479,0.01586,0.4433,0.476,0.25,0.43,0.58,0.74,0.8,274997.934806786,217.407676331775
Oicha,2026-05-28,,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,53.126,0.01479,0.01586,0.4433,0.476,0.25,0.43,0.58,0.74,0.8,274997.934806786,217.407676331775
Oicha,2026-05-29,,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,32.0,,,,,,,,,,,,53.126,0.01479,0.01586,0.4433,0.476,0.25,0.43,0.58,0.74,0.8,274997.934806786,217.407676331775
Rimba,2026-05-26,,0.0,,,,14.0,4.0,,,,,,,,,,,0.0,,,,,,14.0,4.0,,,,,,,0.0,0.02853,0.03343,0.002064,0.002202,0.36,0.58,0.77,0.93,1.0,222281.837981453,475.541098374732
Rimba,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.545,0.02853,0.03343,0.002064,0.002202,0.36,0.58,0.77,0.93,1.0,222281.837981453,475.541098374732
Rimba,2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.893,0.02853,0.03343,0.002064,0.002202,0.36,0.58,0.77,0.93,1.0,222281.837981453,475.541098374732
Rimba,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.893,0.02853,0.03343,0.002064,0.002202,0.36,0.58,0.77,0.93,1.0,222281.837981453,475.541098374732
Rwampara,2026-05-15,,13.0,,5.0,,72.0,,,,,,,,,,,,13.0,5.0,,,,,72.0,,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-18,,19.0,,51.0,120.0,136.0,38.0,,,,,,,,,,,6.0,46.0,120.0,,,,64.0,38.0,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-19,78.0,25.0,0.0,44.0,335.0,154.0,43.0,,,,,,,,,,,4.0,13.0,215.0,,,,18.0,5.0,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-20,83.0,24.0,0.0,69.0,621.0,179.0,44.0,1.0,54.0,,,,,,,,,3.0,25.0,286.0,37.0,5.0,12.0,25.0,1.0,102.0,102.0,0.0,0.0,102.0,102.0,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-21,0.0,31.0,1.0,81.0,621.0,193.0,51.0,0.0,88.0,,,,,,,,,7.0,12.0,0.0,76.0,0.0,12.0,14.0,7.0,940.0,940.0,0.0,0.0,940.0,940.0,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-22,,32.0,2.0,132.0,621.0,221.0,63.0,,45.0,34.0,,,,,,,,1.0,8.0,0.0,11.0,1.0,10.0,28.0,12.0,2996.0,3152.0,156.0,156.0,3152.0,2996.0,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-23,,32.0,2.0,92.0,621.0,228.0,69.0,0.0,25.0,21.0,,,,,,,,0.0,3.0,0.0,4.0,2.0,2.0,7.0,6.0,2996.0,3152.0,156.0,156.0,3152.0,2996.0,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-24,,32.0,2.0,,621.0,228.0,69.0,2.0,25.0,19.0,,,,,,,,0.0,,0.0,6.0,2.0,4.0,,0.0,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-25,,32.0,2.0,,621.0,240.0,75.0,,,,,,,,,,,0.0,,0.0,,,,12.0,6.0,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-26,,33.0,2.0,,621.0,240.0,75.0,,,,,,,,,,,1.0,,0.0,,,,0.0,0.0,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-27,,33.0,2.0,,697.0,228.0,69.0,0.0,,,,,,,,,,0.0,,76.0,8.0,0.0,2.0,,,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-28,,65.0,13.0,,697.0,241.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Rwampara,2026-05-29,,65.0,13.0,,697.0,241.0,71.0,0.0,13.0,9.0,,,,,,,,12.0,,766.0,,1.0,,13.0,2.0,,,,,,,0.0,,,0.07158,0.07532,,,,,,252324.469993129,378.392262151519
Tchomia,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,291.0,291.0,0.0,0.0,291.0,291.0,71.54,0.5505,0.5732,0.003251,0.005263,4.57,5.38,5.89,6.39,6.55,83916.9999395966,228.779480612625
Tchomia,2026-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,130.0,0.0,0.0,130.0,130.0,55.844,0.5505,0.5732,0.003251,0.005263,4.57,5.38,5.89,6.39,6.55,83916.9999395966,228.779480612625
Tchomia,2026-05-22,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,148.0,167.0,19.0,19.0,167.0,148.0,55.844,0.5505,0.5732,0.003251,0.005263,4.57,5.38,5.89,6.39,6.55,83916.9999395966,228.779480612625
Tchomia,2026-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,167.0,19.0,19.0,167.0,148.0,55.844,0.5505,0.5732,0.003251,0.005263,4.57,5.38,5.89,6.39,6.55,83916.9999395966,228.779480612625
